weibull_normal_N20_run1,weibull_normal_N20_run2,weibull_normal_N20_run3,weibull_normal_N20_run4,weibull_normal_N20_run5,weibull_normal_N20_run6,weibull_normal_N20_run7,weibull_normal_N20_run8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.0,7000.0,0.0,7000.0,0.0,3000.0,0.0
7000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,0.0
3000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,0.0
7000.0,0.0,7000.0,0.0,7000.0,0.0,3000.0,0.0
3000.0,0.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
7000.0,0.0,3000.0,0.0,3000.0,0.0,3000.0,0.0
3000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,3000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,3000.0,7000.0
3000.0,3000.0,3000.0,3000.0,3000.0,0.0,7000.0,7000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,3000.0,3000.0
3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33000.0,73000.0,40000.0,66000.0,40000.0,69000.0,40000.0,63000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.0,7000.0,0.0,7000.0,0.0,3000.0,0.0
7000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,0.0
3000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,0.0
7000.0,0.0,7000.0,0.0,7000.0,0.0,3000.0,0.0
3000.0,0.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
7000.0,0.0,3000.0,0.0,3000.0,0.0,3000.0,0.0
3000.0,0.0,3000.0,0.0,3000.0,0.0,7000.0,3000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,3000.0,7000.0
3000.0,3000.0,3000.0,3000.0,3000.0,0.0,7000.0,7000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,3000.0,3000.0
3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
